                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0535,                 4.0526,                 4.2309,                0.01611,                0.95789,                0.05198,                0.01702,                 2.5937,                 4.1785,                 4.1585,               6.25e-05,               6.25e-05,               6.25e-05
                      1,                 3.0011,                 4.0251,                 4.2125,                0.01565,                0.94737,                0.09179,                0.02804,                 2.5945,                 4.1735,                 4.1569,             6.9438e-05,             6.9438e-05,             6.9438e-05
