                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5364,                 5.4004,                 4.5398,                      0,                      0,                      0,                      0,                 3.7742,                 5.0927,                  4.159,                      0,                      0,                      0
                      1,                  4.044,                 5.1096,                 4.5723,                      0,                      0,                      0,                      0,                 3.7743,                 5.0926,                  4.159,             6.3125e-06,             6.3125e-06,             6.3125e-06
